meter_id,site_name,tariff_type,period_start,period_end,usage_kwh,demand_kw,rate_per_kwh,total_cost_usd
MTR-001,Hamburg HQ,commercial_standard,2024-01-01,2024-01-31,48200.00,210.5,0.142,6844.40
MTR-002,Munich Plant,industrial_high_voltage,2024-01-01,2024-01-31,92400.00,380.0,0.118,10903.20
MTR-003,Berlin Office,commercial_standard,2024-01-01,2024-02-05,31500.00,145.2,0.151,4756.50
MTR-004,Frankfurt Depot,commercial_standard,2024-01-15,2024-02-14,22800.00,98.7,0.139,3169.20
MTR-001,Hamburg HQ,commercial_standard,2024-02-01,2024-02-29,44100.00,198.3,0.142,6262.20
MTR-002,Munich Plant,industrial_high_voltage,2024-02-01,2024-02-29,88600.00,365.0,0.118,10454.80
MTR-003,Berlin Office,commercial_standard,2024-02-06,2024-03-04,18900.00,88.4,0.151,2853.90
MTR-005,Stuttgart Storage,commercial_off_peak,2024-01-18,2024-02-17,15600.00,72.1,0.105,1638.00
MTR-006,Dusseldorf Hub,commercial_standard,2024-01-22,2024-02-21,27300.00,115.6,0.139,3794.70
MTR-001,Hamburg HQ,commercial_standard,2024-03-01,2024-03-31,51800.00,225.1,0.142,7357.60
MTR-002,Munich Plant,industrial_high_voltage,2024-03-01,2024-03-31,95700.00,391.5,0.118,11292.60
MTR-004,Frankfurt Depot,commercial_standard,2024-02-15,2024-03-16,24100.00,102.3,0.139,3349.90
MTR-007,Cologne Factory,industrial_standard,2024-01-01,2024-01-31,68900.00,295.4,0.128,8819.20
MTR-007,Cologne Factory,industrial_standard,2024-02-01,2024-02-29,64200.00,278.8,0.128,8217.60
MTR-007,Cologne Factory,industrial_standard,2024-03-01,2024-03-31,71400.00,308.1,0.128,9139.20
MTR-008,Leipzig Warehouse,commercial_standard,2024-01-08,2024-02-07,19800.00,86.5,0.139,2752.20
MTR-008,Leipzig Warehouse,commercial_standard,2024-02-08,2024-03-08,18400.00,81.9,0.139,2557.60
MTR-003,Berlin Office,commercial_standard,2024-03-05,2024-04-03,20100.00,91.2,0.151,3035.10
MTR-009,Bremen Terminal,industrial_high_voltage,2024-01-01,2024-01-31,112500.00,445.0,0.118,13275.00
MTR-009,Bremen Terminal,industrial_high_voltage,2024-02-01,2024-02-29,108300.00,432.5,0.118,12779.40
MTR-009,Bremen Terminal,industrial_high_voltage,2024-03-01,2024-03-31,115800.00,461.2,0.118,13664.40
MTR-010,Dresden Office,commercial_standard,2024-02-20,2024-03-21,14200.00,64.8,0.142,2016.40
,Hamburg HQ,commercial_standard,2024-01-01,2024-01-31,8900.00,42.0,0.142,1263.80
MTR-011,Nuremberg Plant,industrial_standard,2024-01-01,2024-01-31,55400.00,,0.128,7091.20
MTR-012,Hannover Hub,commercial_standard,2024-01-01,2024-01-31,,112.3,0.139,
MTR-001,Hamburg HQ,commercial_standard,2024-04-01,2024-04-30,49600.00,218.4,0.142,7043.20
MTR-002,Munich Plant,industrial_high_voltage,2024-04-01,2024-04-30,91200.00,374.1,0.118,10761.60
MTR-006,Dusseldorf Hub,commercial_standard,2024-02-22,2024-03-23,26100.00,110.4,0.139,3627.90
MTR-007,Cologne Factory,industrial_standard,2024-04-01,2024-04-30,69800.00,301.2,0.128,8934.40
MTR-011,Nuremberg Plant,industrial_standard,2024-02-01,2024-02-29,52800.00,232.1,0.128,6758.40
MTR-013,Essen Depot,commercial_standard,2024-01-05,2024-02-04,16700.00,75.3,0.139,2321.30
MTR-013,Essen Depot,commercial_standard,2024-02-05,2024-03-06,15900.00,72.8,0.139,2210.10
MTR-009,Bremen Terminal,industrial_high_voltage,2024-04-01,2024-04-30,109700.00,437.8,0.118,12944.60
MTR-010,Dresden Office,commercial_standard,2024-03-22,2024-04-21,13800.00,62.5,0.142,1959.60
